15:05:01.370214 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 45
15:05:01.380352 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 46
15:05:01.380368 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 46
15:05:01.390507 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 47
15:05:01.390523 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 47
15:05:01.400662 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 48
15:05:01.400677 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 48
15:05:01.410818 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 49
15:05:01.410833 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 49
15:05:01.420972 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 50
15:05:01.420987 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 50
15:05:01.431131 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 51
15:05:01.431159 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 51
15:05:01.441281 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 52
15:05:01.441302 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 52
15:05:01.451441 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 53
15:05:01.451459 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 53
15:05:01.461581 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 54
15:05:01.461597 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 54
15:05:01.471738 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 55
15:05:01.471754 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 55
15:05:01.481898 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 56
15:05:01.481913 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 56
15:05:01.492054 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 57
15:05:01.492069 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 57
15:05:01.502192 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 58
15:05:01.502208 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 58
15:05:01.512347 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 59
15:05:01.512364 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 59
15:05:01.522503 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 60
15:05:01.522518 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 60
15:05:01.532659 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 61
15:05:01.532674 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 61
15:05:01.542815 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 62
15:05:01.542830 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 62
15:05:01.552970 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 63
15:05:01.552985 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 63
15:05:01.563125 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 64
15:05:01.563140 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 64
15:05:01.573280 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 65
15:05:01.573295 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 65
15:05:01.583434 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 66
15:05:01.583449 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 66
15:05:01.593590 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 67
15:05:01.593604 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 67
15:05:01.603744 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 68
15:05:01.603759 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 68
15:05:01.613901 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 69
15:05:01.613915 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 69
15:05:01.624060 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 70
15:05:01.624075 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 70
15:05:01.634216 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 71
15:05:01.634232 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 71
15:05:01.644371 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 72
15:05:01.644386 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 72
15:05:01.654531 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 73
15:05:01.654545 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 73
15:05:01.664690 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 74
15:05:01.664705 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 74
15:05:01.674829 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 75
15:05:01.674843 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 75
15:05:01.684984 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 76
15:05:01.684999 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 76
15:05:01.695146 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 77
15:05:01.695159 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 77
15:05:01.705304 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 78
15:05:01.705322 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 78
15:05:01.715460 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 79
15:05:01.715477 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 79
15:05:01.725616 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 80
15:05:01.725632 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 80
15:05:01.735772 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 81
15:05:01.735788 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 81
15:05:01.745928 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 82
15:05:01.745944 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 82
15:05:01.756083 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 83
15:05:01.756099 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 83
15:05:01.766222 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 84
15:05:01.766238 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 84
15:05:01.776361 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 85
15:05:01.776375 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 85
15:05:01.786500 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 86
15:05:01.786516 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 86
15:05:01.796655 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 87
15:05:01.796671 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 87
15:05:01.806809 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 88
15:05:01.806825 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 88
15:05:01.816964 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 89
15:05:01.816980 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 89
15:05:01.827122 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 90
15:05:01.827145 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 90
15:05:01.837283 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 91
15:05:01.837301 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 91
15:05:01.847441 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 92
15:05:01.847457 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 92
15:05:01.857601 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 93
15:05:01.857617 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 93
15:05:01.867756 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 94
15:05:01.867772 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 94
15:05:01.877911 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 95
15:05:01.877927 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 95
15:05:01.888067 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 96
15:05:01.888082 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 96
15:05:01.898223 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 97
15:05:01.898238 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 97
15:05:01.908382 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 98
15:05:01.908397 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 98
15:05:01.918536 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 99
15:05:01.918552 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 99
15:05:01.928690 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 100
15:05:01.928706 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 100
15:05:01.938850 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 101
15:05:01.938865 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 101
15:05:01.949008 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 102
15:05:01.949023 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 102
15:05:01.959168 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 103
15:05:01.959189 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 103
15:05:01.969327 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 104
15:05:01.969345 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 104
15:05:01.979483 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 105
15:05:01.979499 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 105
15:05:01.989640 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 106
15:05:01.989656 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 106
15:05:01.999779 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 107
15:05:01.999795 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 107
15:05:02.009935 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 108
15:05:02.009950 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 108
15:05:02.020090 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 109
15:05:02.020106 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 109
15:05:02.030248 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 110
15:05:02.030263 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 110
15:05:02.040403 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 111
15:05:02.040419 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 111
15:05:02.050558 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 112
15:05:02.050576 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 112
15:05:02.060712 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 113
15:05:02.060725 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 113
15:05:02.070869 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 114
15:05:02.070884 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 114
