10:40:25.332977 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 98
10:40:25.343133 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 99
10:40:25.353285 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 100
10:40:25.363437 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 101
10:40:25.373589 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 102
10:40:25.383747 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 103
10:40:25.393883 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 104
10:40:25.404037 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 105
10:40:25.414190 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 106
10:40:25.424343 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 107
10:40:25.434506 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 108
10:40:25.444684 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 109
10:40:25.454823 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 110
10:40:25.464979 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 111
10:40:25.475134 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 112
10:40:25.485288 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 113
10:40:25.495445 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 114
10:40:25.505597 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 115
10:40:25.515753 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 116
10:40:25.525910 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 117
10:40:25.536063 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 118
10:40:25.546217 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 119
10:40:25.556371 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 120
10:40:25.566529 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 121
10:40:25.576683 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 122
10:40:25.586837 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 123
10:40:25.596969 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 124
10:40:25.607108 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 125
10:40:25.617249 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 126
10:40:25.627401 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 127
10:40:25.637561 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 128
10:40:25.647731 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 129
