18:14:22.684765 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 53
18:14:22.695082 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 54
18:14:22.695144 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 54
18:14:22.705427 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 55
18:14:22.705490 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 55
18:14:22.715691 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 56
18:14:22.715778 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 56
18:14:22.726147 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 57
18:14:22.726190 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 57
18:14:22.736554 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 58
18:14:22.736722 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 58
18:14:22.746934 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 59
18:14:22.746982 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 59
18:14:22.757308 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 60
18:14:22.757369 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 60
18:14:22.767530 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 61
18:14:22.767608 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 61
18:14:22.777932 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 62
18:14:22.778093 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 62
18:14:22.788364 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 63
18:14:22.788426 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 63
18:14:22.798759 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 64
18:14:22.798806 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 64
18:14:22.809111 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 65
18:14:22.809165 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 65
18:14:22.819394 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 66
18:14:22.819458 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 66
18:14:22.829733 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 67
18:14:22.829784 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 67
18:14:22.840131 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 68
18:14:22.840258 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 68
18:14:22.850425 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 69
18:14:22.850464 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 69
18:14:22.860802 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 70
18:14:22.860946 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 70
18:14:22.871222 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 71
18:14:22.871289 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 71
18:14:22.881559 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 72
18:14:22.881624 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 72
18:14:22.891955 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 73
18:14:22.892081 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 73
18:14:22.902270 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 74
18:14:22.902314 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 74
18:14:22.912584 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 75
18:14:22.912648 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 75
18:14:22.922926 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 76
18:14:22.922991 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 76
18:14:22.933326 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 77
18:14:22.933494 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 77
18:14:22.943725 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 78
18:14:22.943838 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 78
18:14:22.954096 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 79
18:14:22.954159 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 79
18:14:22.964418 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 80
18:14:22.964481 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 80
18:14:22.974824 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 81
18:14:22.974984 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 81
18:14:22.985287 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 82
18:14:22.985367 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 82
18:14:22.995674 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 83
18:14:22.995755 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 83
18:14:23.006075 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 84
18:14:23.006138 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 84
18:14:23.016422 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 85
18:14:23.016486 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 85
18:14:23.026741 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 86
18:14:23.026787 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 86
18:14:23.037083 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 87
18:14:23.037140 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 87
18:14:23.047485 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 88
18:14:23.047601 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 88
18:14:23.057925 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 89
18:14:23.057988 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 89
18:14:23.068309 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 90
18:14:23.068369 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 90
18:14:23.078683 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 91
18:14:23.078746 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 91
18:14:23.088943 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 92
18:14:23.088985 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 92
18:14:23.099188 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 93
18:14:23.099256 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 93
18:14:23.109599 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 94
18:14:23.109718 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 94
18:14:23.120031 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 95
18:14:23.120098 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 95
18:14:23.130377 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 96
18:14:23.130441 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 96
18:14:23.140722 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 97
18:14:23.140784 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 97
18:14:23.150996 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 98
18:14:23.151975 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 98
18:14:23.161136 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 99
18:14:23.162080 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 99
18:14:23.171266 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 100
18:14:23.172209 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 100
18:14:23.181393 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 101
18:14:23.182334 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 101
18:14:23.191509 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 102
18:14:23.192460 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 102
18:14:23.201625 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 103
18:14:23.202585 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 103
18:14:23.211775 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 104
18:14:23.212708 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 104
18:14:23.221896 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 105
18:14:23.222831 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 105
18:14:23.232025 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 106
18:14:23.232953 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 106
18:14:23.242118 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 107
18:14:23.243077 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 107
18:14:23.252242 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 108
18:14:23.253201 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 108
18:14:23.262369 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 109
18:14:23.263324 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 109
18:14:23.272480 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 110
18:14:23.273447 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 110
18:14:23.282571 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 111
18:14:23.283568 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 111
18:14:23.292696 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 112
18:14:23.293690 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 112
18:14:23.302820 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 113
18:14:23.303814 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 113
18:14:23.312913 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 114
18:14:23.313935 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 114
18:14:23.323031 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 115
18:14:23.324061 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 115
18:14:23.333165 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 116
18:14:23.334188 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 116
18:14:23.343376 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 117
18:14:23.344358 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 117
18:14:23.353595 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 118
18:14:23.354585 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 118
18:14:23.363912 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 119
18:14:23.364829 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 119
18:14:23.374239 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 120
18:14:23.375028 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 120
18:14:23.384547 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 121
18:14:23.385225 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 121
18:14:23.394900 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 122
18:14:23.395435 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 122
18:14:23.405223 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 123
18:14:23.405613 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 123
18:14:23.415512 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 124
18:14:23.415815 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 124
18:14:23.425942 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 125
18:14:23.426090 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 125
18:14:23.436304 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 126
18:14:23.436378 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 126
18:14:23.446640 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 127
18:14:23.446695 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 127
18:14:23.457032 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 128
18:14:23.457193 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 128
18:14:23.467352 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 129
18:14:23.467419 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 129
18:14:23.477701 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 130
18:14:23.477772 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 130
18:14:23.488050 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 131
18:14:23.488121 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 131
18:14:23.498387 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 132
18:14:23.498429 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 132
18:14:23.508758 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 133
18:14:23.508850 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 133
18:14:23.519113 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 134
18:14:23.519168 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 134
18:14:23.529439 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 135
18:14:23.529499 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 135
18:14:23.539719 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 136
18:14:23.539840 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 136
18:14:23.550128 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 137
18:14:23.550194 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 137
18:14:23.560506 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 138
18:14:23.560621 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 138
18:14:23.570893 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 139
18:14:23.570956 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 139
18:14:23.581228 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 140
18:14:23.581291 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 140
18:14:23.591532 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 141
18:14:23.591596 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 141
18:14:23.601906 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 142
18:14:23.602020 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 142
18:14:23.612382 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 143
18:14:23.612533 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 143
18:14:23.622772 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 144
18:14:23.622815 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 144
18:14:23.633107 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 145
18:14:23.633171 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 145
18:14:23.643499 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 146
18:14:23.643575 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 146
18:14:23.653884 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 147
