15:52:26.885083 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 94
15:52:26.893040 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 93
15:52:26.895353 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 95
15:52:26.904061 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 94
15:52:26.905624 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 96
15:52:26.915084 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 95
15:52:26.915877 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 97
15:52:26.926206 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 96
15:52:26.926278 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 98
15:52:26.936536 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 99
15:52:26.936864 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 97
15:52:26.946793 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 100
15:52:26.947174 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 98
15:52:26.957613 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 101
15:52:26.958118 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 99
15:52:26.968179 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 102
15:52:26.968826 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 100
15:52:26.978770 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 103
15:52:26.979529 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 101
15:52:26.989333 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 104
15:52:26.990240 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 102
15:52:26.999944 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 105
15:52:27.000961 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 103
15:52:27.010718 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 106
15:52:27.012984 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 104
15:52:27.021536 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 107
15:52:27.024256 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 105
15:52:27.032399 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 108
15:52:27.035604 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 106
15:52:27.043249 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 109
15:52:27.046703 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 107
15:52:27.054130 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 110
15:52:27.057817 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 108
15:52:27.065000 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 111
15:52:27.068967 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 109
15:52:27.078141 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 112
15:52:27.080170 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 110
15:52:27.089012 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 113
15:52:27.091280 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 111
15:52:27.100854 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 114
15:52:27.101956 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 112
15:52:27.111253 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 115
15:52:27.112337 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 113
15:52:27.121575 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 116
15:52:27.122710 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 114
15:52:27.131921 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 117
15:52:27.133373 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 115
15:52:27.142222 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 118
15:52:27.144146 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 116
15:52:27.153213 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 119
15:52:27.155024 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 117
15:52:27.164052 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 120
15:52:27.166120 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 118
15:52:27.175279 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 121
15:52:27.177273 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 119
15:52:27.186227 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 122
15:52:27.188517 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 120
15:52:27.197102 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 123
15:52:27.199616 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 121
15:52:27.207936 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 124
15:52:27.210710 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 122
15:52:27.218792 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 125
15:52:27.222327 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 123
15:52:27.229616 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 126
15:52:27.233461 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 124
15:52:27.240436 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 127
15:52:27.244567 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 125
15:52:27.251255 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 128
15:52:27.255692 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 126
15:52:27.262935 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 129
15:52:27.266788 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 127
15:52:27.274266 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 130
15:52:27.277871 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 128
15:52:27.285104 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 131
15:52:27.288958 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 129
15:52:27.295947 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 132
15:52:27.300036 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 130
15:52:27.307301 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 133
15:52:27.311181 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 131
15:52:27.318440 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 134
15:52:27.322494 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 132
15:52:27.329388 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 135
15:52:27.333348 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 133
15:52:27.340272 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 136
15:52:27.344160 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 134
15:52:27.350967 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 137
15:52:27.354870 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 135
15:52:27.361829 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 138
15:52:27.365540 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 136
15:52:27.372827 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 139
15:52:27.376194 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 137
15:52:27.383494 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 140
15:52:27.386849 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 138
15:52:27.394172 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 141
15:52:27.397623 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 139
15:52:27.405021 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 142
15:52:27.408442 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 140
15:52:27.415877 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 143
15:52:27.419294 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 141
15:52:27.426700 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 144
15:52:27.430301 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 142
15:52:27.437563 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 145
15:52:27.441476 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 143
15:52:27.448393 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 146
15:52:27.452791 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 144
15:52:27.459226 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 147
15:52:27.463769 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 145
15:52:27.470043 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 148
15:52:27.474775 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 146
15:52:27.480858 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 149
15:52:27.485741 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 147
15:52:27.491672 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 150
15:52:27.496734 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 148
15:52:27.502639 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 151
15:52:27.507778 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 149
15:52:27.513867 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 152
