15:17:44.257734 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 69
15:17:44.257752 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 69
15:17:44.267891 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 70
15:17:44.267908 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 70
15:17:44.278047 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 71
15:17:44.278066 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 71
15:17:44.288206 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 72
15:17:44.288226 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 72
15:17:44.298365 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 73
15:17:44.298381 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 73
15:17:44.308520 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 74
15:17:44.308537 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 74
15:17:44.318676 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 75
15:17:44.318694 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 75
15:17:44.328832 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 76
15:17:44.328849 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 76
15:17:44.338987 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 77
15:17:44.339004 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 77
15:17:44.349152 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 78
15:17:44.349168 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 78
15:17:44.359309 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 79
15:17:44.359326 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 79
15:17:44.369469 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 80
15:17:44.369489 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 80
15:17:44.379626 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 81
15:17:44.379643 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 81
15:17:44.389782 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 82
15:17:44.389799 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 82
15:17:44.399939 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 83
15:17:44.399955 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 83
15:17:44.410095 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 84
15:17:44.410112 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 84
15:17:44.420251 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 85
15:17:44.420270 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 85
15:17:44.430413 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 86
15:17:44.430431 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 86
15:17:44.440572 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 87
15:17:44.440589 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 87
15:17:44.450728 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 88
15:17:44.450745 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 88
15:17:44.460885 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 89
