18:10:30.846435 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 43
18:10:30.846587 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 43
18:10:30.856574 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 44
18:10:30.856726 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 44
18:10:30.866714 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 45
18:10:30.866866 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 45
18:10:30.876853 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 46
18:10:30.877005 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 46
18:10:30.886975 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 47
18:10:30.887128 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 47
18:10:30.897115 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 48
18:10:30.897285 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 48
18:10:30.907262 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 49
18:10:30.907416 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 49
18:10:30.917409 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 50
18:10:30.917546 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 50
18:10:30.927556 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 51
18:10:30.927675 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 51
18:10:30.937700 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 52
18:10:30.937803 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 52
18:10:30.947844 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 53
18:10:30.947930 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 53
18:10:30.957989 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 54
18:10:30.958058 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 54
18:10:30.968134 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 55
18:10:30.968185 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 55
18:10:30.978278 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 56
18:10:30.978314 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 56
18:10:30.988427 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 57
18:10:30.988448 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 57
18:10:30.998573 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 58
18:10:30.998594 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 58
18:10:31.008733 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 59
18:10:31.008752 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 59
18:10:31.018881 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 60
18:10:31.018903 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 60
18:10:31.029059 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 61
18:10:31.029079 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 61
18:10:31.039226 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 62
18:10:31.039247 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 62
18:10:31.049397 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 63
18:10:31.049415 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 63
18:10:31.059559 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 64
18:10:31.059581 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 64
18:10:31.069736 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 65
18:10:31.069756 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 65
18:10:31.079908 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 66
18:10:31.079926 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 66
18:10:31.090072 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 67
18:10:31.090094 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 67
18:10:31.100243 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 68
18:10:31.100265 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 68
18:10:31.110408 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 69
18:10:31.110430 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 69
18:10:31.120587 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 70
18:10:31.120609 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 70
18:10:31.130756 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 71
18:10:31.130777 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 71
18:10:31.140909 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 72
18:10:31.140930 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 72
18:10:31.151086 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 73
18:10:31.151109 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 73
18:10:31.161265 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 74
18:10:31.161284 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 74
18:10:31.171430 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 75
