13:14:12.151542 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 47
13:14:12.161678 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 48
13:14:12.161691 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 48
13:14:12.171827 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 49
13:14:12.171841 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 49
13:14:12.181977 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 50
13:14:12.181991 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 50
13:14:12.192108 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 51
13:14:12.192121 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 51
13:14:12.202244 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 52
13:14:12.202258 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 52
13:14:12.212389 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 53
13:14:12.212405 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 53
13:14:12.222549 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 54
13:14:12.222566 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 54
13:14:12.232705 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 55
13:14:12.232720 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 55
13:14:12.242858 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 56
13:14:12.242872 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 56
13:14:12.253015 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 57
13:14:12.253031 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 57
13:14:12.263169 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 58
13:14:12.263183 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 58
13:14:12.273317 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 59
13:14:12.273331 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 59
13:14:12.283470 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 60
13:14:12.283483 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 60
13:14:12.293625 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 61
13:14:12.293637 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 61
13:14:12.303772 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 62
13:14:12.303786 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 62
13:14:12.313923 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 63
13:14:12.313937 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 63
13:14:12.324070 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 64
13:14:12.324084 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 64
13:14:12.334205 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 65
13:14:12.334218 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 65
13:14:12.344353 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 66
13:14:12.344369 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 66
13:14:12.354507 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 67
13:14:12.354521 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 67
13:14:12.364658 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 68
13:14:12.364671 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 68
13:14:12.374810 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 69
13:14:12.374824 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 69
13:14:12.384959 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 70
13:14:12.384973 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 70
13:14:12.395111 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 71
13:14:12.395124 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 71
13:14:12.405260 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 72
13:14:12.405273 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 72
13:14:12.415412 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 73
13:14:12.415423 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 73
13:14:12.425558 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 74
13:14:12.425572 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 74
13:14:12.435710 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 75
13:14:12.435724 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 75
13:14:12.445862 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 76
13:14:12.445875 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 76
13:14:12.456018 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 77
13:14:12.456033 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 77
13:14:12.466172 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 78
13:14:12.466185 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 78
13:14:12.476331 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 79
13:14:12.476349 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 79
13:14:12.486486 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 80
13:14:12.486501 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 80
