11:31:07.862792 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 140
11:31:07.872948 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 141
11:31:07.883105 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 142
11:31:07.893260 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 143
11:31:07.903416 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 144
11:31:07.913567 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 145
11:31:07.923724 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 146
11:31:07.933882 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 147
11:31:07.944036 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 148
11:31:07.954164 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 149
11:31:07.964330 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 150
11:31:07.974492 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 151
11:31:07.984647 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 152
11:31:07.994805 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 153
11:31:08.004962 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 154
11:31:08.015118 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 155
11:31:08.025275 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 156
11:31:08.035430 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 157
11:31:08.045586 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 158
11:31:08.055742 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 159
11:31:08.065898 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 160
11:31:08.076035 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 161
11:31:08.086190 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 162
11:31:08.096346 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 163
11:31:08.106502 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 164
11:31:08.116658 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 165
11:31:08.126815 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 166
11:31:08.136970 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 167
11:31:08.147129 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 168
11:31:08.157287 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 169
11:31:08.167444 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 170
11:31:08.177606 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 171
11:31:08.187783 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 172
11:31:08.197940 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 173
11:31:08.208125 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 174
11:31:08.218281 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 175
11:31:08.228438 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 176
11:31:08.238593 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 177
11:31:08.248748 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 178
11:31:08.258890 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 179
11:31:08.269044 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 180
11:31:08.279201 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 181
11:31:08.289337 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 182
11:31:08.299493 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 183
11:31:08.309649 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 184
11:31:08.319803 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 185
11:31:08.329958 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 186
11:31:08.340114 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 187
11:31:08.350269 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 188
11:31:08.360425 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 189
11:31:08.370580 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 190
11:31:08.380738 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 191
11:31:08.390894 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 192
11:31:08.401073 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 193
11:31:08.411229 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 194
11:31:08.421385 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 195
11:31:08.431540 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 196
11:31:08.441695 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 197
11:31:08.451850 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 198
11:31:08.462005 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 199
11:31:08.472160 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 200
11:31:08.482316 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 201
11:31:08.492472 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 202
11:31:08.502622 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 203
11:31:08.512781 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 204
11:31:08.522938 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 205
11:31:08.533093 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 206
11:31:08.543247 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 207
11:31:08.553402 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 208
11:31:08.563556 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 209
11:31:08.573710 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 210
11:31:08.583869 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 211
11:31:08.594025 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 212
11:31:08.604181 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 213
11:31:08.614345 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 214
11:31:08.624486 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 215
11:31:08.634642 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 216
11:31:08.644797 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 217
11:31:08.654956 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 218
11:31:08.665114 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 219
11:31:08.675273 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 220
11:31:08.685430 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 221
11:31:08.695572 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 222
11:31:08.705709 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 223
11:31:08.715877 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 224
11:31:08.726032 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 225
11:31:08.736194 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 226
11:31:08.746351 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 227
11:31:08.756508 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 228
11:31:08.766662 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 229
11:31:08.776820 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 230
11:31:08.786975 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 231
11:31:08.797130 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 232
11:31:08.807284 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 233
11:31:08.817439 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 234
11:31:08.827621 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 235
11:31:08.837776 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 236
11:31:08.847932 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 237
11:31:08.858091 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 238
11:31:08.868247 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 239
11:31:08.878403 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 240
11:31:08.888558 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 241
11:31:08.898715 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 242
11:31:08.908853 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 243
11:31:08.919013 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 244
11:31:08.929167 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 245
11:31:08.939327 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 246
11:31:08.949497 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 247
11:31:08.959629 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 248
11:31:08.969786 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 249
11:31:08.979943 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 250
11:31:08.990103 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 251
11:31:09.000259 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 252
11:31:09.010414 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 253
11:31:09.020569 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 254
11:31:09.030724 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 255
11:31:09.040885 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 256
11:31:09.051049 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 257
11:31:09.061206 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 258
11:31:09.071363 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 259
11:31:09.081518 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 260
11:31:09.091675 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 261
11:31:09.101815 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 262
11:31:09.111970 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 263
11:31:09.122124 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 264
11:31:09.132278 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 265
11:31:09.142434 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 266
11:31:09.152590 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 267
11:31:09.162745 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 268
11:31:09.172900 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 269
11:31:09.183055 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 270
11:31:09.193210 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 271
11:31:09.203365 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 272
11:31:09.213519 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 273
11:31:09.223676 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 274
11:31:09.233832 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 275
11:31:09.243987 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 276
11:31:09.254131 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 277
11:31:09.264277 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 278
11:31:09.274434 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 279
