13:31:25.085006 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 59
13:31:25.085022 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 59
13:31:25.095164 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 60
13:31:25.095179 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 60
13:31:25.105328 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 61
13:31:25.105345 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 61
13:31:25.115490 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 62
13:31:25.115509 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 62
13:31:25.125648 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 63
13:31:25.125665 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 63
13:31:25.135804 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 64
13:31:25.135822 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 64
13:31:25.145962 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 65
13:31:25.145981 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 65
13:31:25.156117 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 66
13:31:25.156133 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 66
13:31:25.166274 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 67
13:31:25.166291 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 67
13:31:25.176432 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 68
13:31:25.176449 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 68
13:31:25.186591 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 69
13:31:25.186611 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 69
13:31:25.196749 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 70
13:31:25.196765 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 70
13:31:25.206904 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 71
13:31:25.206920 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 71
13:31:25.217061 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 72
13:31:25.217076 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 72
13:31:25.227224 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 73
13:31:25.227240 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 73
13:31:25.237379 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 74
13:31:25.237395 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 74
13:31:25.247536 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 75
13:31:25.247553 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 75
13:31:25.257693 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 76
13:31:25.257710 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 76
13:31:25.267859 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 77
13:31:25.267879 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 77
13:31:25.278017 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 78
13:31:25.278033 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 78
13:31:25.288176 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 79
13:31:25.288191 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 79
13:31:25.298355 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 80
13:31:25.298367 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 80
13:31:25.308506 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 81
13:31:25.308520 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 81
13:31:25.318656 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 82
13:31:25.318672 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 82
13:31:25.328811 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 83
13:31:25.328826 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 83
13:31:25.338966 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 84
13:31:25.338981 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 84
13:31:25.349121 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 85
13:31:25.349136 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 85
13:31:25.359277 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 86
13:31:25.359292 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 86
13:31:25.369432 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 87
13:31:25.369446 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 87
13:31:25.379587 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 88
13:31:25.379607 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 88
13:31:25.389728 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 89
13:31:25.389743 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 89
13:31:25.399880 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 90
13:31:25.399893 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 90
13:31:25.410032 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 91
13:31:25.410046 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 91
13:31:25.420184 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 92
13:31:25.420196 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 92
13:31:25.430334 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 93
13:31:25.430348 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 93
13:31:25.440486 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 94
13:31:25.440500 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 94
13:31:25.450638 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 95
13:31:25.450649 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 95
13:31:25.460788 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 96
13:31:25.460804 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 96
13:31:25.470940 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 97
13:31:25.470954 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 97
13:31:25.481091 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 98
13:31:25.481102 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 98
13:31:25.491240 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 99
13:31:25.491255 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 99
13:31:25.501392 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 100
13:31:25.501403 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 100
13:31:25.511543 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 101
13:31:25.511558 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 101
13:31:25.521695 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 102
