17:21:47.136028 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 68
17:21:47.136042 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 68
17:21:47.146180 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 69
17:21:47.146194 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 69
17:21:47.156336 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 70
17:21:47.156350 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 70
17:21:47.166493 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 71
17:21:47.166506 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 71
17:21:47.176645 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 72
17:21:47.176658 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 72
17:21:47.186804 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 73
17:21:47.186817 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 73
17:21:47.196960 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 74
17:21:47.196970 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 74
17:21:47.207113 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 75
17:21:47.207129 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 75
17:21:47.217252 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 76
17:21:47.217267 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 76
17:21:47.227393 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 77
17:21:47.227407 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 77
17:21:47.237528 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 78
17:21:47.237543 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 78
17:21:47.247686 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 79
17:21:47.247700 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 79
17:21:47.257838 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 80
17:21:47.257852 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 80
17:21:47.267994 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 81
17:21:47.268008 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 81
17:21:47.278151 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 82
17:21:47.278165 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 82
17:21:47.288307 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 83
17:21:47.288321 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 83
17:21:47.298459 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 84
17:21:47.298474 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 84
17:21:47.308617 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 85
17:21:47.308631 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 85
17:21:47.318774 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 86
17:21:47.318788 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 86
17:21:47.328925 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 87
17:21:47.328940 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 87
17:21:47.339083 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 88
17:21:47.339099 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 88
17:21:47.349234 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 89
17:21:47.349248 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 89
17:21:47.359391 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 90
17:21:47.359404 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 90
17:21:47.369543 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 91
17:21:47.369557 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 91
17:21:47.379699 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 92
17:21:47.379713 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 92
17:21:47.389850 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 93
17:21:47.389864 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 93
17:21:47.400007 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 94
17:21:47.400020 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 94
17:21:47.410159 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 95
17:21:47.410173 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 95
17:21:47.420323 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 96
17:21:47.420335 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 96
17:21:47.430474 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 97
17:21:47.430490 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 97
17:21:47.440627 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 98
17:21:47.440643 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 98
17:21:47.450781 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 99
17:21:47.450808 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 99
17:21:47.460927 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 100
17:21:47.460943 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 100
17:21:47.471081 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 101
17:21:47.471096 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 101
17:21:47.481236 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 102
17:21:47.481251 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 102
17:21:47.491373 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 103
17:21:47.491388 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 103
17:21:47.501527 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 104
17:21:47.501541 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 104
17:21:47.511683 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 105
17:21:47.511697 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 105
17:21:47.521839 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 106
17:21:47.521852 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 106
17:21:47.531990 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 107
17:21:47.532004 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 107
17:21:47.542148 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 108
17:21:47.542162 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 108
17:21:47.552305 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 109
17:21:47.552319 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 109
17:21:47.562456 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 110
17:21:47.562470 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 110
