10:39:01.670442 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 56
10:39:01.670526 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 56
10:39:01.683383 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 57
10:39:01.683481 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 57
10:39:01.696273 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 58
10:39:01.696365 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 58
10:39:01.709204 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 59
10:39:01.709285 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 59
10:39:01.722082 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 60
10:39:01.722189 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 60
10:39:01.734959 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 61
10:39:01.735074 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 61
10:39:01.747876 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 62
10:39:01.747990 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 62
10:39:01.759697 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 63
10:39:01.759717 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 63
10:39:01.771003 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 64
10:39:01.772551 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 64
10:39:01.783457 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 65
10:39:01.783552 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 65
10:39:01.796374 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 66
10:39:01.796453 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 66
10:39:01.808699 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 67
10:39:01.809122 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 67
10:39:01.821527 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 68
10:39:01.821635 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 68
10:39:01.834481 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 69
10:39:01.834580 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 69
10:39:01.846152 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 70
10:39:01.846202 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 70
10:39:01.858947 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 71
10:39:01.859059 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 71
10:39:01.871858 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 72
10:39:01.871960 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 72
10:39:01.884776 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 73
10:39:01.885008 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 73
10:39:01.897703 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 74
10:39:01.897791 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 74
10:39:01.910589 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 75
10:39:01.910681 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 75
10:39:01.921318 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 76
10:39:01.922090 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 76
10:39:01.934128 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 77
10:39:01.934291 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 77
10:39:01.944733 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 78
10:39:01.944918 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 78
10:39:01.957585 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 79
10:39:01.957654 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 79
10:39:01.969237 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 80
10:39:01.969428 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 80
10:39:01.980284 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 81
10:39:01.980380 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 81
10:39:01.993150 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 82
10:39:01.993261 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 82
10:39:02.006039 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 83
10:39:02.006145 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 83
10:39:02.018937 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 84
10:39:02.019079 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 84
10:39:02.031855 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 85
10:39:02.031941 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 85
10:39:02.043306 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 86
10:39:02.043414 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 86
10:39:02.054544 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 87
10:39:02.054736 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 87
10:39:02.067409 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 88
10:39:02.067516 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 88
10:39:02.080286 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 89
10:39:02.080398 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 89
10:39:02.093172 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 90
10:39:02.093285 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 90
10:39:02.105936 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 91
10:39:02.106008 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 91
10:39:02.118936 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 92
10:39:02.119041 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 92
10:39:02.131803 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 93
10:39:02.131911 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 93
10:39:02.144761 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 94
10:39:02.144872 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 94
10:39:02.157643 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 95
10:39:02.157736 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 95
10:39:02.169231 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 96
10:39:02.169257 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 96
