17:27:44.197972 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 65
17:27:44.208112 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 66
17:27:44.208126 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 66
17:27:44.218266 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 67
17:27:44.218278 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 67
17:27:44.228414 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 68
17:27:44.228427 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 68
17:27:44.238564 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 69
17:27:44.238582 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 69
17:27:44.248717 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 70
17:27:44.248730 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 70
17:27:44.258868 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 71
17:27:44.258885 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 71
17:27:44.269020 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 72
17:27:44.269035 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 72
17:27:44.279179 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 73
17:27:44.279191 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 73
17:27:44.289334 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 74
17:27:44.289350 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 74
17:27:44.299486 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 75
