18:27:44.325556 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 55
18:27:44.325575 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 55
18:27:44.335702 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 56
18:27:44.335721 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 56
18:27:44.345867 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 57
18:27:44.345886 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 57
18:27:44.356028 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 58
18:27:44.356045 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 58
18:27:44.366169 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 59
18:27:44.366187 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 59
18:27:44.376329 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 60
18:27:44.376344 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 60
18:27:44.386485 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 61
18:27:44.386503 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 61
18:27:44.396642 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 62
18:27:44.396661 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 62
18:27:44.406798 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 63
18:27:44.406815 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 63
18:27:44.416964 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 64
18:27:44.416980 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 64
18:27:44.427135 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 65
18:27:44.427149 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 65
18:27:44.437297 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 66
18:27:44.437318 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 66
18:27:44.447458 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 67
18:27:44.447477 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 67
18:27:44.457616 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 68
18:27:44.457633 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 68
18:27:44.467777 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 69
18:27:44.467795 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 69
18:27:44.477934 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 70
18:27:44.477951 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 70
18:27:44.488096 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 71
18:27:44.488112 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 71
18:27:44.498251 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 72
18:27:44.498268 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 72
18:27:44.508413 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 73
18:27:44.508430 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 73
18:27:44.518571 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 74
18:27:44.518591 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 74
18:27:44.528729 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 75
18:27:44.528746 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 75
18:27:44.538870 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 76
18:27:44.538892 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 76
18:27:44.549030 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 77
18:27:44.549052 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 77
18:27:44.559194 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 78
18:27:44.559215 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 78
18:27:44.569353 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 79
18:27:44.569370 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 79
18:27:44.579511 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 80
18:27:44.579529 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 80
18:27:44.589670 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 81
18:27:44.589686 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 81
18:27:44.599826 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 82
18:27:44.599842 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 82
18:27:44.609982 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 83
18:27:44.609999 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 83
18:27:44.620142 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 84
18:27:44.620159 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 84
18:27:44.630298 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 85
18:27:44.630314 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 85
18:27:44.640453 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 86
18:27:44.640469 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 86
18:27:44.650609 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 87
18:27:44.650625 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 87
18:27:44.660765 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 88
18:27:44.660781 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 88
18:27:44.670920 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 89
18:27:44.670936 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 89
18:27:44.681076 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 90
18:27:44.681096 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 90
18:27:44.691234 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 91
18:27:44.691248 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 91
18:27:44.701389 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 92
18:27:44.701407 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 92
18:27:44.711547 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 93
18:27:44.711564 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 93
18:27:44.721705 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 94
18:27:44.721721 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 94
18:27:44.731861 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 95
18:27:44.731879 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 95
18:27:44.742018 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 96
18:27:44.742034 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 96
18:27:44.752173 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 97
18:27:44.752189 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 97
18:27:44.762329 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 98
18:27:44.762344 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 98
18:27:44.772485 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 99
18:27:44.772500 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 99
18:27:44.782641 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 100
18:27:44.782655 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 100
18:27:44.792794 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 101
18:27:44.792810 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 101
18:27:44.802957 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 102
18:27:44.802973 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 102
18:27:44.813117 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 103
18:27:44.813133 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 103
18:27:44.823275 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 104
18:27:44.823292 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 104
18:27:44.833433 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 105
18:27:44.833450 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 105
18:27:44.843590 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 106
18:27:44.843608 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 106
18:27:44.853748 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 107
18:27:44.853764 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 107
18:27:44.863903 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 108
18:27:44.863920 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 108
18:27:44.874059 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 109
18:27:44.874077 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 109
18:27:44.884217 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 110
18:27:44.884233 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 110
18:27:44.894356 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 111
18:27:44.894374 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 111
18:27:44.904514 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 112
18:27:44.904531 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 112
18:27:44.914677 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 113
18:27:44.914690 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 113
18:27:44.924828 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 114
18:27:44.924844 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 114
18:27:44.934986 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 115
18:27:44.935009 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 115
18:27:44.945147 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 116
18:27:44.945163 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 116
18:27:44.955303 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 117
18:27:44.955322 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 117
18:27:44.965462 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 118
18:27:44.965479 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 118
18:27:44.975618 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 119
18:27:44.975637 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 119
18:27:44.985777 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 120
18:27:44.985794 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 120
18:27:44.995934 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 121
18:27:44.995951 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 121
18:27:45.006091 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 122
18:27:45.006109 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 122
18:27:45.016237 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 123
18:27:45.016255 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 123
18:27:45.026378 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 124
18:27:45.026395 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 124
18:27:45.036552 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 125
18:27:45.036568 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 125
18:27:45.046708 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 126
18:27:45.046726 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 126
18:27:45.056873 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 127
18:27:45.056889 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 127
18:27:45.067028 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 128
18:27:45.067047 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 128
18:27:45.077193 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 129
18:27:45.077209 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 129
18:27:45.087354 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 130
18:27:45.087370 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 130
18:27:45.097511 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 131
18:27:45.097530 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 131
18:27:45.107668 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 132
18:27:45.107684 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 132
18:27:45.117824 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 133
18:27:45.117842 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 133
18:27:45.127984 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 134
18:27:45.128000 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 134
18:27:45.138140 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 135
18:27:45.138155 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 135
18:27:45.148296 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 136
18:27:45.148312 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 136
18:27:45.158453 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 137
18:27:45.158470 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 137
18:27:45.168615 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 138
18:27:45.168631 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 138
18:27:45.178772 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 139
18:27:45.178788 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 139
18:27:45.188929 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 140
18:27:45.188944 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 140
18:27:45.199086 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 141
18:27:45.199101 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 141
18:27:45.209241 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 142
18:27:45.209259 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 142
18:27:45.219399 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 143
18:27:45.219418 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 143
18:27:45.229555 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 144
18:27:45.229572 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 144
18:27:45.239711 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 145
18:27:45.239727 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 145
18:27:45.249871 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 146
18:27:45.249887 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 146
18:27:45.260029 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 147
18:27:45.260046 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 147
18:27:45.270186 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 148
18:27:45.270202 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 148
18:27:45.280342 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 149
18:27:45.280358 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 149
18:27:45.290496 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 150
18:27:45.290512 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 150
18:27:45.300652 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 151
