20:20:34.388761 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 49
20:20:34.389676 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 50
20:20:34.399795 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 50
20:20:34.400760 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 51
20:20:34.410894 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 51
20:20:34.411746 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 52
20:20:34.421892 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 52
20:20:34.422974 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 53
20:20:34.432991 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 53
20:20:34.433807 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 54
20:20:34.444704 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 55
20:20:34.445431 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 54
20:20:34.455540 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 56
20:20:34.456774 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 55
20:20:34.466438 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 57
20:20:34.467974 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 56
20:20:34.477698 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 58
20:20:34.479164 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 57
20:20:34.488683 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 59
20:20:34.490705 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 58
20:20:34.500147 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 60
20:20:34.501684 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 59
20:20:34.510983 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 61
20:20:34.512321 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 60
20:20:34.521657 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 62
20:20:34.522714 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 61
20:20:34.532387 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 63
20:20:34.533076 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 62
20:20:34.543037 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 64
20:20:34.543693 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 63
20:20:34.553656 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 65
20:20:34.554357 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 64
20:20:34.564316 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 66
20:20:34.565287 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 65
