15:11:51.305194 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 58
15:11:51.315334 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 59
15:11:51.315350 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 59
15:11:51.325490 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 60
15:11:51.325506 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 60
15:11:51.335651 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 61
15:11:51.335669 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 61
15:11:51.345808 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 62
15:11:51.345826 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 62
15:11:51.355967 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 63
15:11:51.355983 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 63
15:11:51.366122 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 64
15:11:51.366139 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 64
15:11:51.376268 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 65
15:11:51.376285 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 65
15:11:51.386427 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 66
15:11:51.386444 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 66
15:11:51.396586 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 67
15:11:51.396602 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 67
15:11:51.406742 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 68
15:11:51.406759 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 68
15:11:51.416900 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 69
15:11:51.416917 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 69
15:11:51.427056 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 70
15:11:51.427073 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 70
15:11:51.437212 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 71
15:11:51.437231 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 71
15:11:51.447353 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 72
15:11:51.447370 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 72
15:11:51.457535 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 73
15:11:51.457552 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 73
15:11:51.467690 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 74
15:11:51.467706 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 74
15:11:51.477846 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 75
15:11:51.477862 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 75
15:11:51.488001 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 76
15:11:51.488019 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 76
15:11:51.498157 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 77
15:11:51.498173 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 77
15:11:51.508312 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 78
15:11:51.508328 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 78
15:11:51.518468 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 79
15:11:51.518482 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 79
15:11:51.528627 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 80
15:11:51.528643 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 80
15:11:51.538781 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 81
15:11:51.538797 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 81
15:11:51.548936 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 82
15:11:51.548952 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 82
15:11:51.559092 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 83
15:11:51.559108 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 83
15:11:51.569247 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 84
15:11:51.569263 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 84
15:11:51.579402 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 85
15:11:51.579418 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 85
15:11:51.589514 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 86
15:11:51.589532 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 86
15:11:51.599659 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 87
15:11:51.599678 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 87
15:11:51.609801 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 88
15:11:51.609819 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 88
15:11:51.619963 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 89
15:11:51.619980 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 89
15:11:51.630120 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 90
15:11:51.630136 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 90
15:11:51.640276 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 91
15:11:51.640295 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 91
15:11:51.650434 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 92
15:11:51.650450 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 92
15:11:51.660595 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 93
15:11:51.660610 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 93
