15:24:13.515100 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 48
15:24:13.515540 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 48
15:24:13.525197 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 49
15:24:13.525668 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 49
15:24:13.535329 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 50
15:24:13.535796 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 50
15:24:13.545455 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 51
15:24:13.545923 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 51
15:24:13.555586 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 52
15:24:13.556050 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 52
15:24:13.565713 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 53
15:24:13.566177 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 53
15:24:13.575835 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 54
15:24:13.576307 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 54
15:24:13.585964 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 55
15:24:13.586461 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 55
15:24:13.596167 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 56
15:24:13.596657 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 56
15:24:13.606358 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 57
15:24:13.606869 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 57
15:24:13.616585 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 58
15:24:13.617087 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 58
15:24:13.626803 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 59
15:24:13.627299 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 59
15:24:13.637019 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 60
15:24:13.637501 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 60
15:24:13.647339 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 61
15:24:13.647721 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 61
15:24:13.657622 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 62
