18:12:33.819944 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 95
18:12:33.819957 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 95
18:12:33.830095 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 96
18:12:33.830109 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 96
18:12:33.840244 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 97
18:12:33.840260 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 97
18:12:33.850402 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 98
18:12:33.850414 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 98
18:12:33.860556 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 99
18:12:33.860570 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 99
18:12:33.870704 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 100
18:12:33.870718 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 100
18:12:33.880859 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 101
18:12:33.880873 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 101
18:12:33.891009 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 102
18:12:33.891022 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 102
18:12:33.901158 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 103
18:12:33.901171 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 103
18:12:33.911308 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 104
18:12:33.911321 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 104
18:12:33.921441 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 105
18:12:33.921453 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 105
