12:47:21.951312 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 55
12:47:21.951327 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 55
12:47:21.961470 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 56
12:47:21.961485 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 56
12:47:21.971624 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 57
12:47:21.971639 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 57
12:47:21.981789 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 58
12:47:21.981800 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 58
12:47:21.991936 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 59
12:47:21.991954 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 59
12:47:22.002094 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 60
12:47:22.002109 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 60
12:47:22.012245 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 61
12:47:22.012261 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 61
12:47:22.022402 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 62
12:47:22.022416 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 62
12:47:22.032560 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 63
12:47:22.032574 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 63
12:47:22.042718 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 64
12:47:22.042732 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 64
12:47:22.052875 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 65
12:47:22.052890 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 65
12:47:22.063033 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 66
12:47:22.063047 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 66
12:47:22.073191 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 67
12:47:22.073205 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 67
12:47:22.083349 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 68
12:47:22.083363 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 68
12:47:22.093502 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 69
12:47:22.093516 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 69
12:47:22.103660 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 70
12:47:22.103672 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 70
12:47:22.113795 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 71
12:47:22.113808 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 71
12:47:22.123947 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 72
12:47:22.123964 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 72
12:47:22.134101 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 73
12:47:22.134116 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 73
12:47:22.144259 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 74
12:47:22.144274 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 74
12:47:22.154416 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 75
12:47:22.154430 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 75
12:47:22.164574 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 76
12:47:22.164588 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 76
12:47:22.174732 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 77
12:47:22.174745 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 77
12:47:22.184896 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 78
12:47:22.184913 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 78
12:47:22.195053 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 79
12:47:22.195068 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 79
12:47:22.205207 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 80
12:47:22.205221 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 80
12:47:22.215360 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 81
12:47:22.215375 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 81
12:47:22.225504 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 82
12:47:22.225519 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 82
12:47:22.235661 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 83
12:47:22.235675 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 83
12:47:22.245818 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 84
12:47:22.245833 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 84
12:47:22.255974 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 85
12:47:22.255992 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 85
12:47:22.266129 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 86
12:47:22.266144 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 86
12:47:22.276288 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 87
12:47:22.276302 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 87
12:47:22.286446 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 88
12:47:22.286460 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 88
12:47:22.296604 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 89
12:47:22.296618 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 89
12:47:22.306762 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 90
12:47:22.306776 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 90
12:47:22.316919 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 91
12:47:22.316933 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 91
12:47:22.327077 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 92
12:47:22.327091 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 92
12:47:22.337235 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 93
12:47:22.337249 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 93
12:47:22.347393 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 94
12:47:22.347407 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 94
12:47:22.357548 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 95
12:47:22.357562 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 95
12:47:22.367706 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 96
12:47:22.367720 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 96
12:47:22.377865 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 97
12:47:22.377883 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 97
12:47:22.388006 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 98
12:47:22.388018 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 98
12:47:22.398155 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 99
12:47:22.398170 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 99
12:47:22.408314 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 100
12:47:22.408329 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 100
12:47:22.418468 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 101
12:47:22.418483 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 101
12:47:22.428629 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 102
12:47:22.428643 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 102
12:47:22.438797 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 103
12:47:22.438813 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 103
12:47:22.448952 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 104
12:47:22.448968 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 104
12:47:22.459108 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 105
12:47:22.459123 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 105
12:47:22.469258 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 106
12:47:22.469274 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 106
12:47:22.479418 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 107
12:47:22.479435 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 107
12:47:22.489573 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 108
12:47:22.489592 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 108
12:47:22.499723 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 109
12:47:22.499737 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 109
12:47:22.509881 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 110
12:47:22.509895 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 110
12:47:22.520038 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 111
12:47:22.520052 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 111
12:47:22.530195 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 112
12:47:22.530209 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 112
12:47:22.540353 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 113
12:47:22.540367 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 113
12:47:22.550512 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 114
12:47:22.550526 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 114
12:47:22.560670 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 115
12:47:22.560683 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 115
12:47:22.570826 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 116
12:47:22.570841 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 116
12:47:22.580984 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 117
12:47:22.581002 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 117
12:47:22.591139 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 118
12:47:22.591153 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 118
12:47:22.601293 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 119
12:47:22.601308 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 119
12:47:22.611451 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 120
12:47:22.611465 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 120
12:47:22.621593 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 121
12:47:22.621607 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 121
12:47:22.631750 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 122
12:47:22.631764 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 122
12:47:22.641911 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 123
12:47:22.641931 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 123
