18:08:15.132071 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 72
18:08:15.142198 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 73
18:08:15.142213 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 73
18:08:15.152355 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 74
18:08:15.152371 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 74
18:08:15.162512 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 75
18:08:15.162528 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 75
18:08:15.172668 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 76
18:08:15.172684 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 76
18:08:15.182824 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 77
18:08:15.182840 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 77
18:08:15.192979 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 78
18:08:15.192995 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 78
18:08:15.203135 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 79
18:08:15.203148 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 79
18:08:15.213288 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 80
18:08:15.213303 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 80
18:08:15.223443 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 81
18:08:15.223459 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 81
18:08:15.233582 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 82
18:08:15.233597 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 82
18:08:15.243737 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 83
18:08:15.243753 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 83
18:08:15.253892 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 84
18:08:15.253908 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 84
18:08:15.264047 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 85
18:08:15.264062 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 85
18:08:15.274202 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 86
18:08:15.274218 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 86
18:08:15.284356 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 87
18:08:15.284372 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 87
18:08:15.294510 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 88
18:08:15.294526 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 88
18:08:15.304664 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 89
18:08:15.304680 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 89
18:08:15.314819 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 90
18:08:15.314835 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 90
18:08:15.324976 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 91
18:08:15.324992 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 91
18:08:15.335132 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 92
18:08:15.335147 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 92
18:08:15.345287 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 93
18:08:15.345302 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 93
18:08:15.355442 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 94
18:08:15.355457 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 94
18:08:15.365605 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 95
18:08:15.365619 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 95
18:08:15.375764 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 96
18:08:15.375782 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 96
18:08:15.385922 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 97
18:08:15.385941 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 97
18:08:15.396078 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 98
18:08:15.396094 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 98
18:08:15.406234 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 99
18:08:15.406250 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 99
18:08:15.416392 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 100
18:08:15.416407 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 100
18:08:15.426547 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 101
18:08:15.426563 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 101
18:08:15.436703 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 102
18:08:15.436718 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 102
18:08:15.446857 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 103
18:08:15.446873 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 103
18:08:15.457012 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 104
18:08:15.457027 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 104
18:08:15.467166 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 105
18:08:15.467181 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 105
18:08:15.477321 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 106
18:08:15.477336 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 106
18:08:15.487477 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 107
18:08:15.487493 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 107
18:08:15.497633 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 108
18:08:15.497648 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 108
18:08:15.507787 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 109
18:08:15.507805 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 109
18:08:15.517943 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 110
18:08:15.517958 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 110
18:08:15.528103 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 111
18:08:15.528118 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 111
18:08:15.538263 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 112
18:08:15.538277 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 112
18:08:15.548421 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 113
18:08:15.548436 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 113
18:08:15.558581 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 114
18:08:15.558596 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 114
18:08:15.568740 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 115
18:08:15.568755 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 115
18:08:15.578898 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 116
18:08:15.578913 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 116
18:08:15.589057 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 117
18:08:15.589071 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 117
18:08:15.599213 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 118
18:08:15.599227 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 118
